Reference,Complete Reference
[20523] PADILLA A. J. (2016),"[20523] PADILLA A. J., MILLER C. F., CARLEY T. L., ECONOMOS R. C., SCHMITT A. K., COBLE M. A., WOODEN J. L., FISHER C. M., VERVOORT J. D., HANCHAR J. M.:    ELUCIDATING THE MAGMATIC HISTORY OF THE AUSTURHORN SILICIC INTRUSIVE COMPLEX (SOUTHEAST ICELAND) USING ZIRCON ELEMENTAL AND ISOTOPIC GEOCHEMISTRY AND GEOCHRONOLOGY    CONTRIB. MINERAL. PETROL. 171 (69)  [2016]     doi: 10.1007/s00410-016-1279-z"
[20769] ZINCONE S. A. (2016),"[20769] ZINCONE S. A., OLIVEIRA E. P., LAURENT O., ZHANG HONG, ZHAI MINGGUO:    3.30 GA HIGH-SILICA INTRAPLATE VOLCANIC-PLUTONIC SYSTEM OF THE GAVIAO BLOCK, SAO FRANCISCO CRATON, BRAZIL: EVIDENCE OF AN INTRACONTINENTAL RIFT FOLLOWING THE CREATION OF INSULATING CONTINENTAL CRUST    LITHOS 266-267   [2016]  414-434    doi: 10.1016/j.lithos.2016.10.011"
[20920] ROBINSON F. A. (2015),"[20920] ROBINSON F. A., FODEN J. D., COLLINS A. S.:    ZIRCON GEOCHEMICAL AND GEOCHRONOLOGICAL CONSTRAINTS ON CONTAMINATED AND ENRICHED MANTLE SOURCES BENEATH THE ARABIAN SHIELD, SAUDI ARABIA    J. GEOL. 123   [2015]  463-489    doi: 10.1086/683192"
[21619] DENG KE (2018),"[21619] DENG KE, LI QIUGEN, CHEN YANJING, ZHANG CHENG, ZHU XUEFENG, XU QIANGWEI:    GEOCHRONOLOGY, GEOCHEMISTRY AND SR-ND-PB-HF ISOTOPES OF THE EARLY JURASSIC GRANODIORITE FROM THE SANKUANGGOU INTRUSION, HEILONGJIANG PROVINCE, NORTHEASTERN CHINA: PETROGENESIS AND GEODYNAMIC IMPLICATIONS    LITHOS 296-298   [2018]  113-128    GeoReM-id: 11055   doi: 10.1016/j.lithos.2017.10.016"
[21677] TERENTIEV R. A. (2018),"[21677] TERENTIEV R. A., SAVKO K. A., SANTOSH M.:    POST-COLLISIONAL TWO-STAGE MAGMATISM IN THE EAST SARMATIAN OROGEN, EAST EUROPEAN CRATON: EVIDENCE FROM THE OLKHOVSKY RING COMPLEX    J. GEOL. SOC. LONDON 175   [2018]  86-99    doi: 10.1144/jgs2017-017"
[22019] HEINONEN A. P. (2017),"[22019] HEINONEN A. P., RÄMÖ O. T., MÄNTTÄRI I., ANDERSEN T., LARJAMO K.:    ZIRCON AS A PROXY FOR THE MAGMATIC EVOLUTION OF PROTEROZOIC FERROAN GRANITES; THE WIBORG RAPAKIVI GRANITE BATHOLITH, SE FINLAND    J. PETROL. 58   [2017]  2493-2517    GeoReM-id: 10972   doi: 10.1093/petrology/egy014"
[22179] TROCH J. (2018),"[22179] TROCH J., ELLIS B. S., SCHMITT A. K., BOUVIER A.-S., BACHMANN O.:    THE DARK SIDE OF ZIRCON: TEXTURAL, AGE, OXYGEN ISOTOPIC AND TRACE ELEMENT EVIDENCE OF FLUID SATURATION IN THE SUBVOLCANIC RESERVOIR OF THE ISLAND PARK-MOUNT JACKSON RHYOLITE, YELLOWSTONE (USA)    CONTRIB. MINERAL. PETROL. 173 (54)  [2018]     GeoReM-id: 11592   doi: 10.1007/s00410-018-1481-2"
[22205] TKACHEVA D. A. (2018),"[22205] TKACHEVA D. A., MIKHALSKY E. V., SUSHCHEVSKAYA N. M., KUNAKKUZIN E. L., SKUBLOV S. G., SERGEEV S. A.:    AGE AND GEOCHEMISTRY OF THE CAPE BURKS GABBROIDS (RUSSKAYA STATION AREA, WEST ANTARCTICA)    GEOCHEM. INT. 56   [2018]  628-650    doi: 10.1134/S001670291807011X"
[22208] LI HUAN (2018),"[22208] LI HUAN, DAVIES H., EVANS N. J., JIANG WEI-CHENG, ZHOU ZHE-KAI:    ZIRCON GEOCHRONOLOGY AND GEOCHEMISTRY OF THE XIANGHUALING A-TYPE GRANITIC ROCKS: INSIGHTS INTO MULTI-STAGE SN-POLYMETALLIC MINERALIZATION IN SOUTH CHINA    LITHOS 312-313   [2018]  1-20    GeoReM-id: 11078   doi: 10.1016/j.lithos.2018.05.001"
[22243] LIU LIANG (2018),"[22243] LIU LIANG, HU RUIZHONG, ZHONG HONG, TANG YAN-WEN, YANG JIE-HUA, LI ZHEN, ZHAO JIAO-LONG, SHEN NENG-PING:    NEW CONSTRAINTS ON THE CRETACEOUS GEODYNAMICS OF PALEO-PACIFIC PLATE SUBDUCTION: INSIGHTS FROM THE XIAOJIANG-BEIZHANG GRANITOIDS, ZHEJIANG PROVINCE, SOUTHEAST CHINA    LITHOS 314-315   [2018]  382-399    GeoReM-id: 11174   doi: 10.1016/j.lithos.2018.06.020"
