Analysis,Lithology (Name given by cited author),Lithology (Lithology Code see explanati...),Description (Data Type),Reference,Th [mg/kg],U [mg/kg],La [mg/kg],Ce [mg/kg],Pr [mg/kg],Sr [mg/kg],Nd [mg/kg],Sm [mg/kg],Eu [mg/kg],Gd [mg/kg],Tb [mg/kg],Dy [mg/kg],Y [mg/kg],Ho [mg/kg],Er [mg/kg],Tm [mg/kg],Yb [mg/kg],Lu [mg/kg],Mn [mg/kg],Ba [mg/kg],Sm norm,Eu norm,Gd norm,Tb norm,Eu norm (Anom Arithmetic),Eu norm (EuAnom Shields and Stille (2...),Eu norm (EuAnom Lawrence and Kamber (2...),LREE norm (La-Nd),Sr/Y,Imputed_Tb,Imputed_Dy,Imputed_Tm,Imputed_Y,Imputed_Ho,Imputed_Nd,Imputed_Er,Imputed_La,Imputed_Pr,Imputed_Sm,Imputed_Gd,Imputed_Yb,Imputed_Lu
ST147A-03.1,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,54.42,33.82,256.78,783.41,134.96,432.15,689.8,155.57,14.34,149.3,20.05,115.99,588.05,23.41,57.58,7.27,43.61,6.48,,,1051.1,254.7,750.3,555.4,0.283,0.287,0.3,1865,0.735,20.05,115.99,7.27,588.05,23.41,689.8,57.58,256.78,134.96,155.57,149.3,43.61,6.48
ST147A-04.2,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,53.81,40.96,217.16,770.83,144.4,418.48,757.2,176.53,15.93,170.14,22.9,136.93,733.39,26.3,70.78,9.13,54.71,8.85,,,1192.8,282.9,855,634.3,0.276,0.28,0.293,1890,0.571,22.9,136.93,9.13,733.39,26.3,757.2,70.78,217.16,144.4,176.53,170.14,54.71,8.85
ST147A-05.2,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,68.26,46.01,214.38,766.58,147.05,413.51,784.72,186.25,18.02,181.42,23.73,142.52,757.52,28.26,74.48,9.46,60.52,9.2,,,1258.4,320.1,911.7,657.3,0.295,0.299,0.316,1913,0.546,23.73,142.52,9.46,757.52,28.26,784.72,74.48,214.38,147.05,186.25,181.42,60.52,9.2
ST147A-01.1,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,41.1,20.06,174.91,707.9,137.35,371.84,757.5,181.99,16.5,175.54,23.28,138.07,743.92,26.82,67.67,8.08,47.36,6.45,,,1229.7,293.1,882.1,644.9,0.278,0.281,0.296,1778,0.5,23.28,138.07,8.08,743.92,26.82,757.5,67.67,174.91,137.35,181.99,175.54,47.36,6.45
ST147A-03.1,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,54.42,33.82,256.78,783.41,134.96,432.15,689.8,155.57,14.34,149.3,20.05,115.99,588.05,23.41,57.58,7.27,43.61,6.48,,,1051.1,254.7,750.3,555.4,0.283,0.287,0.3,1865,0.735,20.05,115.99,7.27,588.05,23.41,689.8,57.58,256.78,134.96,155.57,149.3,43.61,6.48
ST147A-04.2,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,53.81,40.96,217.16,770.83,144.4,418.48,757.2,176.53,15.93,170.14,22.9,136.93,733.39,26.3,70.78,9.13,54.71,8.85,,,1192.8,282.9,855,634.3,0.276,0.28,0.293,1890,0.571,22.9,136.93,9.13,733.39,26.3,757.2,70.78,217.16,144.4,176.53,170.14,54.71,8.85
ST147A-05.2,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,68.26,46.01,214.38,766.58,147.05,413.51,784.72,186.25,18.02,181.42,23.73,142.52,757.52,28.26,74.48,9.46,60.52,9.2,,,1258.4,320.1,911.7,657.3,0.295,0.299,0.316,1913,0.546,23.73,142.52,9.46,757.52,28.26,784.72,74.48,214.38,147.05,186.25,181.42,60.52,9.2
ST147A-06,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,58.36,39.03,289.42,837.49,147.06,459.4,732.63,162.05,15.45,159.39,21.15,117.54,606.87,23.62,60.93,7.54,45.17,6.77,,,1094.9,274.4,801,585.9,0.289,0.293,0.309,2007,0.757,21.15,117.54,7.54,606.87,23.62,732.63,60.93,289.42,147.06,162.05,159.39,45.17,6.77
ST147A-09,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,78.12,77.06,227.06,796.24,144.14,415.13,756.42,182.94,14.3,186.46,25.08,146.45,805.41,29.62,76.59,9.33,52.61,7.14,,,1236.1,254,937,694.7,0.234,0.236,0.249,1924,0.515,25.08,146.45,9.33,805.41,29.62,756.42,76.59,227.06,144.14,182.94,186.46,52.61,7.14
ST150A-03,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,51.25,99.34,1092.81,2636.5,345.84,285.18,1494.41,278.64,12.82,242.84,30.89,187.5,1028.4,35.95,96.72,11.97,74.78,11.27,,,1882.7,227.7,1220.3,855.7,0.147,0.15,0.157,5570,0.277,30.89,187.5,11.97,1028.4,35.95,1494.41,96.72,1092.81,345.84,278.64,242.84,74.78,11.27
ST150A-04(C)b,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,53.27,102.83,1068.22,2651.39,348.83,279.63,1396.41,263.11,11.78,234.32,29.23,172.28,929.6,34.09,83.92,10.65,63.63,8.71,,,1777.8,209.2,1177.5,809.7,0.142,0.145,0.153,5465,0.301,29.23,172.28,10.65,929.6,34.09,1396.41,83.92,1068.22,348.83,263.11,234.32,63.63,8.71
ST150A-04(R)b,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,56.88,95.11,1142.06,2581.62,345.04,261.28,1445,267.3,12.84,253.95,30.34,170.91,999.53,35.41,85.82,11,64.66,9.53,,,1806.1,228.1,1276.1,840.4,0.148,0.15,0.163,5514,0.261,30.34,170.91,11,999.53,35.41,1445,85.82,1142.06,345.04,267.3,253.95,64.66,9.53
ST150A-10,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,50.23,113.37,1135.89,2635.41,310.29,272.06,1174.32,197.5,13.08,162.06,20.93,124.48,679.71,24.29,64.25,9.14,54.8,7.75,,,1334.5,232.3,814.4,579.8,0.216,0.223,0.23,5256,0.4,20.93,124.48,9.14,679.71,24.29,1174.32,64.25,1135.89,310.29,197.5,162.06,54.8,7.75
ST150A-11,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,53.59,117.64,1109.12,2662.01,329.74,275.26,1248.7,217.49,12.42,182.47,23.96,138.98,750.29,26.2,72.63,9.08,55.35,7.72,,,1469.5,220.6,916.9,663.7,0.185,0.19,0.196,5350,0.367,23.96,138.98,9.08,750.29,26.2,1248.7,72.63,1109.12,329.74,217.49,182.47,55.35,7.72
ST150A-23(C)b,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,68.92,111.58,861.95,2034.03,272.97,262.32,1183.22,251.6,15.72,246.62,34.52,210.77,1151.92,41.15,110.45,14.61,90.11,13.26,,,1700,279.2,1239.3,956.2,0.19,0.192,0.199,4352,0.228,34.52,210.77,14.61,1151.92,41.15,1183.22,110.45,861.95,272.97,251.6,246.62,90.11,13.26
ST150A-23(R)b,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,125.17,176.05,1091.39,2519.67,354.39,299.22,1605.82,338.72,23.91,348.17,50.69,300.68,1788.06,61.92,169.59,23.34,148.42,21.19,,,2288.6,424.7,1749.6,1404.2,0.21,0.212,0.218,5571,0.167,50.69,300.68,23.34,1788.06,61.92,1605.82,169.59,1091.39,354.39,338.72,348.17,148.42,21.19
ST152A-03,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,13.56,6.15,311.13,680.33,95.37,549.19,432.53,81.95,14.65,71.25,7.76,45.63,211.66,8.27,20.16,2.45,13.54,2.18,,,553.7,260.2,358,215,0.571,0.584,0.644,1519,2.595,7.76,45.63,2.45,211.66,8.27,432.53,20.16,311.13,95.37,81.95,71.25,13.54,2.18
ST152A-05,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,13.57,5.67,307.44,745.24,112.77,552.07,495.16,83.82,17.14,75.42,8.92,46.87,244.26,8.87,23.97,3.13,16.76,2.63,,,566.4,304.4,379,247.1,0.644,0.657,0.709,1661,2.26,8.92,46.87,3.13,244.26,8.87,495.16,23.97,307.44,112.77,83.82,75.42,16.76,2.63
ST152A-09,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,23.73,9.69,345.19,786.84,97.38,556.89,410.32,69.83,15.37,59.04,7.03,40.81,201.38,7.72,19.83,2.39,15.32,2.44,,,471.8,273,296.7,194.7,0.71,0.73,0.777,1640,2.765,7.03,40.81,2.39,201.38,7.72,410.32,19.83,345.19,97.38,69.83,59.04,15.32,2.44
ST152A-12,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,15.66,6.38,356.73,819.13,108.28,539.14,455.76,78.61,16.67,66.42,7.55,43.37,212.05,8.48,20.29,2.78,16.34,2.69,,,531.1,296.1,333.8,209.1,0.685,0.703,0.761,1740,2.543,7.55,43.37,2.78,212.05,8.48,455.76,20.29,356.73,108.28,78.61,66.42,16.34,2.69
ST152A-13,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,4.29,1.29,157.32,426.35,68.43,471.52,377.87,85.07,21.07,82.96,10.09,56.77,279.27,10.86,25.41,3.03,17.05,2.27,,,574.8,374.2,416.9,279.5,0.755,0.765,0.828,1030,1.688,10.09,56.77,3.03,279.27,10.86,377.87,25.41,157.32,68.43,85.07,82.96,17.05,2.27
T027-02,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,66.85,31.94,2785.84,6735.97,932.98,725.33,3707.67,579.49,61.18,363.93,39.92,210.55,1112.85,38.4,95.36,12.29,67.94,8.89,,,3915.5,1086.7,1828.8,1105.8,0.378,0.406,0.423,14162,0.652,39.92,210.55,12.29,1112.85,38.4,3707.67,95.36,2785.84,932.98,579.49,363.93,67.94,8.89
T027-03,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,22.98,8.62,454.97,1269.35,175.59,307.6,790.55,148.43,14.29,118.54,13.51,72.71,380,13.43,33.01,3.86,23.49,3.79,,,1002.9,253.8,595.7,374.2,0.318,0.328,0.352,2690,0.809,13.51,72.71,3.86,380,13.43,790.55,33.01,454.97,175.59,148.43,118.54,23.49,3.79
T027-06,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,13.79,7.47,607.55,1464.46,179.73,299.18,738.39,113.03,15.39,96.42,11.19,64.5,422.55,13.46,38.18,5.85,42.07,8.04,,,763.7,273.4,484.5,310,0.438,0.449,0.483,2990,0.708,11.19,64.5,5.85,422.55,13.46,738.39,38.18,607.55,179.73,113.03,96.42,42.07,8.04
T027-07,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,13.86,9.27,493.25,1228.99,144.04,320.53,539.7,85.73,13.94,74.58,8.36,47.59,326.1,10.3,28.23,4.27,30.64,5.85,,,579.3,247.6,374.8,231.6,0.519,0.531,0.58,2406,0.983,8.36,47.59,4.27,326.1,10.3,539.7,28.23,493.25,144.04,85.73,74.58,30.64,5.85
T027-09,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,9.93,2.9,553.18,1449.61,179.14,329.82,727,120.92,14.51,100.2,10.88,61.19,313.99,11.57,30.02,3.88,26.53,4.56,,,817,257.7,503.5,301.4,0.39,0.402,0.44,2909,1.05,10.88,61.19,3.88,313.99,11.57,727,30.02,553.18,179.14,120.92,100.2,26.53,4.56
T027-12,Mafic I-type granitoid,IM,Spot,Chu et al. 2009,78.07,31.49,3183.28,7670.05,996.74,714.23,3761.02,547.86,59.89,330.12,36.65,187.78,965.92,32.57,80.88,10.05,59.73,7.52,,,3701.8,1063.8,1658.9,1015.2,0.397,0.429,0.442,15611,0.739,36.65,187.78,10.05,965.92,32.57,3761.02,80.88,3183.28,996.74,547.86,330.12,59.73,7.52
T060B-22.1+2a,Adakite,IM,Spot,Chu et al. 2009,54.49,28.96,1022.83,958.2,88.76,359.02,386.14,48.33,7.83,29.49,2.47,9.19,97.93,3.61,6.01,0.9,5.57,1.03,,,326.6,139.1,148.2,68.4,0.586,0.632,0.717,2456,3.666,2.47,9.19,0.9,97.93,3.61,386.14,6.01,1022.83,88.76,48.33,29.49,5.57,1.03
T060B-33.1+2a,Adakite,IM,Spot,Chu et al. 2009,74.09,13.11,1401.27,2778.94,234.65,456.37,586.92,81,12.72,43.64,3.35,20.47,130.61,4.73,9.67,1.58,9.74,1.32,,,547.3,225.9,219.3,92.8,0.589,0.652,0.746,5002,3.494,3.35,20.47,1.58,130.61,4.73,586.92,9.67,1401.27,234.65,81,43.64,9.74,1.32
ET023-09,Adakite,IM,Spot,Chu et al. 2009,41.08,20.68,781.49,1114.41,135.01,412.3,582.82,82.7,12.7,60.71,6.81,31.97,200.33,7.13,16.36,2.16,14.38,1.94,,,558.8,225.6,305.1,188.6,0.522,0.546,0.58,2614,2.058,6.81,31.97,2.16,200.33,7.13,582.82,16.36,781.49,135.01,82.7,60.71,14.38,1.94
ET023-13.2,Adakite,IM,Spot,Chu et al. 2009,26.1,7.17,957.78,1552.91,200.22,435.69,823.01,121.58,14.26,84.06,7.82,36.79,189.34,6.61,15.99,1.92,11.35,1.85,,,821.5,253.3,422.4,216.6,0.407,0.43,0.481,3534,2.301,7.82,36.79,1.92,189.34,6.61,823.01,15.99,957.78,200.22,121.58,84.06,11.35,1.85
ET023-18(C)b,Adakite,IM,Spot,Chu et al. 2009,29.53,10.38,830.37,1338.67,133.22,423.1,504.49,69.55,10.3,45.67,4.54,23.23,129.71,4.48,11.12,1.19,9.44,1.43,,,469.9,182.9,229.5,125.8,0.523,0.557,0.604,2807,3.262,4.54,23.23,1.19,129.71,4.48,504.49,11.12,830.37,133.22,69.55,45.67,9.44,1.43
ET023-18(M)b,Adakite,IM,Spot,Chu et al. 2009,121.31,14.58,999.59,1535.49,167.27,418.45,664.44,87.35,12.64,52.99,5.33,26.89,158.41,4.64,12.06,1.7,9.28,1.65,,,590.2,224.5,266.3,147.6,0.524,0.566,0.604,3367,2.642,5.33,26.89,1.7,158.41,4.64,664.44,12.06,999.59,167.27,87.35,52.99,9.28,1.65
ET023-18(R)b,Adakite,IM,Spot,Chu et al. 2009,64.94,12.81,960.46,1239.95,130.15,401.89,512.8,73.58,11.19,51.14,5.2,24.59,152.17,5.08,11.66,1.6,11.18,2.06,,,497.2,198.8,257,144,0.527,0.556,0.604,2843,2.641,5.2,24.59,1.6,152.17,5.08,512.8,11.66,960.46,130.15,73.58,51.14,11.18,2.06
ET023-20(C)b,Adakite,IM,Spot,Chu et al. 2009,51.3,56.1,813.58,1195.91,116.67,406.82,427.39,56.18,10.33,38.58,3.83,19.47,112.89,3.87,9.58,1.248,8.33,1.314,,,379.6,183.5,193.9,106.1,0.64,0.676,0.739,2554,3.604,3.83,19.47,1.248,112.89,3.87,427.39,9.58,813.58,116.67,56.18,38.58,8.33,1.314
ET023-20(R)b,Adakite,IM,Spot,Chu et al. 2009,46.55,37.51,701.36,1026.96,101.33,414.36,,48.13,8.35,33,3.37,17.32,95.87,3.02,8.56,0.893,6.62,1.22,,,325.2,148.3,165.8,93.4,0.604,0.639,0.691,,4.322,3.37,17.32,0.893,95.87,3.02,NA,8.56,701.36,101.33,48.13,33,6.62,1.22
ET023-22,Adakite,IM,Spot,Chu et al. 2009,23.13,18.75,707.39,1301.28,136.78,398.48,526.49,73.77,9.41,49.69,4.91,24.88,136.99,4.43,11.34,1.562,9.45,1.7,,,498.4,167.1,249.7,136,0.447,0.474,0.517,2672,2.909,4.91,24.88,1.562,136.99,4.43,526.49,11.34,707.39,136.78,73.77,49.69,9.45,1.7
ET025C-01,Adakite,IM,Spot,Chu et al. 2009,134.66,38.26,1317.28,1686.98,142.97,517.16,457.66,53.96,14.58,43.35,4.65,25.66,156.54,4.94,13.14,1.838,12.01,2.15,,,364.6,259,217.8,128.8,0.889,0.919,1.005,3605,3.304,4.65,25.66,1.838,156.54,4.94,457.66,13.14,1317.28,142.97,53.96,43.35,12.01,2.15
ET025C-02,Adakite,IM,Spot,Chu et al. 2009,230.23,196.48,426.65,1007.71,122.84,158.78,543.88,133.19,63.4,159.75,21.95,136.46,911.51,29.86,86.66,11.95,85.94,15.22,,,899.9,1126.1,802.8,608,1.323,1.325,1.426,2101,0.174,21.95,136.46,11.95,911.51,29.86,543.88,86.66,426.65,122.84,133.19,159.75,85.94,15.22
ET025C-04,Adakite,IM,Spot,Chu et al. 2009,121.61,53.77,129.36,412.73,66.47,154.6,320,77.73,17.73,91.27,12.78,85.21,643.14,19.47,58.96,9.45,69.86,13.57,,,525.2,314.9,458.6,354,0.64,0.642,0.684,929,0.24,12.78,85.21,9.45,643.14,19.47,320,58.96,129.36,66.47,77.73,91.27,69.86,13.57
ET025C-05(C)b,Adakite,IM,Spot,Chu et al. 2009,155.35,69.21,907.53,1092.02,82.46,443.99,257.59,36.98,11.32,32.92,3.81,23.78,158.13,4.96,14.22,2.15,13.6,2.35,,,249.9,201.1,165.4,105.5,0.968,0.989,1.072,2340,2.808,3.81,23.78,2.15,158.13,4.96,257.59,14.22,907.53,82.46,36.98,32.92,13.6,2.35
ET025C-05(R)b,Adakite,IM,Spot,Chu et al. 2009,100.62,42.94,614.48,677.79,50.28,462.49,166.43,20.02,6.03,20.19,2.18,12.63,89.23,2.76,7.41,0.961,6.24,1.29,,,135.3,107.1,101.5,60.4,0.905,0.914,1.036,1509,5.183,2.18,12.63,0.961,89.23,2.76,166.43,7.41,614.48,50.28,20.02,20.19,6.24,1.29
ET025C-06,Adakite,IM,Spot,Chu et al. 2009,39.92,23.32,874.56,1067.22,77.68,379.7,221.18,22.04,5.83,18.79,2.04,12.08,94.5,2.91,8.33,1.271,9.89,2.12,,,148.9,103.6,94.4,56.5,0.851,0.873,0.96,2241,4.018,2.04,12.08,1.271,94.5,2.91,221.18,8.33,874.56,77.68,22.04,18.79,9.89,2.12
ET025C-07,Adakite,IM,Spot,Chu et al. 2009,134.93,33.94,1584.48,1819.93,158.18,500.42,499.24,58.53,15.97,44.34,4.93,27.7,176.21,5.8,16.05,1.98,12.94,2.66,,,395.5,283.7,222.8,136.6,0.918,0.956,1.022,4062,2.84,4.93,27.7,1.98,176.21,5.8,499.24,16.05,1584.48,158.18,58.53,44.34,12.94,2.66
ET025C-17,Adakite,IM,Spot,Chu et al. 2009,73.87,16.38,1368.02,2334.62,248.34,584.45,934.8,120.01,15.03,80.19,7.46,35.62,199.84,6.4,16.42,1.97,12.93,2.03,,,810.9,267,403,206.6,0.44,0.467,0.519,4886,2.925,7.46,35.62,1.97,199.84,6.4,934.8,16.42,1368.02,248.34,120.01,80.19,12.93,2.03
ET025C-19,Adakite,IM,Spot,Chu et al. 2009,53.84,18.03,1305.77,2111.07,207.37,572.93,682.52,74.41,11.63,45.62,4.43,22.82,146.54,4.35,11.98,1.587,10.09,1.88,,,502.8,206.6,229.2,122.7,0.564,0.608,0.657,4307,3.91,4.43,22.82,1.587,146.54,4.35,682.52,11.98,1305.77,207.37,74.41,45.62,10.09,1.88
ST107A-02.2,Adakite,IM,Spot,Chu et al. 2009,77.69,71.07,1310.58,1909.39,183.32,343.63,625.39,78.8,10.82,55.06,5.8,27.58,161.15,5.2,13.74,1.61,11.24,2.11,,,532.4,192.2,276.7,160.7,0.475,0.501,0.538,4029,2.132,5.8,27.58,1.61,161.15,5.2,625.39,13.74,1310.58,183.32,78.8,55.06,11.24,2.11
ST107A-05,Adakite,IM,Spot,Chu et al. 2009,69.98,19.07,1901.48,2683.01,233.97,331.21,761.88,88.38,7.43,56.15,5.06,24.56,106.58,4.15,9.4,1.26,7.14,1.31,,,597.2,132,282.2,140.2,0.3,0.322,0.358,5580,3.108,5.06,24.56,1.26,106.58,4.15,761.88,9.4,1901.48,233.97,88.38,56.15,7.14,1.31
ST107A-06.2,Adakite,IM,Spot,Chu et al. 2009,128.77,32.2,2546.83,3740.99,329.24,340.3,1113.66,134.97,12.59,88.9,8.19,39.91,185.68,7.06,16.38,2.02,12.16,2,,,912,223.6,446.7,226.9,0.329,0.35,0.39,7731,1.833,8.19,39.91,2.02,185.68,7.06,1113.66,16.38,2546.83,329.24,134.97,88.9,12.16,2
ST107A-08,Adakite,IM,Spot,Chu et al. 2009,90.74,25.71,2056.52,2783.62,250.23,332.37,827.89,97.72,8.97,63.48,5.89,28.9,136.29,5.26,12.43,1.54,9.08,1.52,,,660.3,159.3,319,163.2,0.325,0.347,0.385,5918,2.439,5.89,28.9,1.54,136.29,5.26,827.89,12.43,2056.52,250.23,97.72,63.48,9.08,1.52
ST107A-11,Adakite,IM,Spot,Chu et al. 2009,62.59,20.73,1638.47,2341.63,209.96,353.68,678.26,79.4,6.82,48.89,4.46,21.25,106.41,3.72,8.8,1.13,6.84,1.18,,,536.5,121.1,245.7,123.5,0.31,0.334,0.368,4868,3.324,4.46,21.25,1.13,106.41,3.72,678.26,8.8,1638.47,209.96,79.4,48.89,6.84,1.18
ST107A-12.1,Adakite,IM,Spot,Chu et al. 2009,106.55,29.15,1932.72,2888.86,278.96,345.07,946.63,116.42,13.12,70.71,6.73,32.74,177.61,5.69,14.91,1.82,12.93,1.96,,,786.6,233,355.3,186.4,0.408,0.441,0.479,6047,1.943,6.73,32.74,1.82,177.61,5.69,946.63,14.91,1932.72,278.96,116.42,70.71,12.93,1.96
ST107B-02,Adakite,IM,Spot,Chu et al. 2009,49.08,92.83,2314.55,2622.01,183.14,348.62,518.15,47.16,6.91,27.2,2.39,10.27,51.36,1.85,4.31,0.512,4.22,0.748,,,318.6,122.7,136.7,66.2,0.539,0.588,0.65,5638,6.788,2.39,10.27,0.512,51.36,1.85,518.15,4.31,2314.55,183.14,47.16,27.2,4.22,0.748
ST107B-03,Adakite,IM,Spot,Chu et al. 2009,75.19,24.59,2128.24,2868.74,266.21,324.25,943.9,123.28,8.41,83.94,7.77,36.83,163.62,6.35,14.28,1.5,8.33,1.42,,,833,149.4,421.8,215.2,0.238,0.252,0.282,6207,1.982,7.77,36.83,1.5,163.62,6.35,943.9,14.28,2128.24,266.21,123.28,83.94,8.33,1.42
ST107B-04,Adakite,IM,Spot,Chu et al. 2009,174.92,48.27,3231.46,4369.69,392.76,354.03,1370.35,170.66,14.05,102.76,9.15,42.64,177.39,7.3,15.26,1.65,8.8,1.65,,,1153.1,249.6,516.4,253.5,0.299,0.323,0.359,9364,1.996,9.15,42.64,1.65,177.39,7.3,1370.35,15.26,3231.46,392.76,170.66,102.76,8.8,1.65
ST107B-07,Adakite,IM,Spot,Chu et al. 2009,71.41,24.92,1666.93,2608.59,286.79,316.2,1170.04,171.27,6.66,109.6,10.29,49.86,199.68,7.99,16.14,1.7,9.29,1.404,,,1157.2,118.3,550.8,285,0.139,0.148,0.163,5732,1.584,10.29,49.86,1.7,199.68,7.99,1170.04,16.14,1666.93,286.79,171.27,109.6,9.29,1.404
ST107B-09,Adakite,IM,Spot,Chu et al. 2009,76.34,56.52,2210.59,2928.88,256.53,327.51,835,89.88,7.59,55.64,5.13,22.81,122.26,4.16,9.89,1.114,7.27,1.247,,,607.3,134.8,279.6,142.1,0.304,0.327,0.36,6231,2.679,5.13,22.81,1.114,122.26,4.16,835,9.89,2210.59,256.53,89.88,55.64,7.27,1.247
ST107B-10(C)b,Adakite,IM,Spot,Chu et al. 2009,47.15,20.59,1541.64,2069.88,181.32,290.93,601.54,77.6,4.63,57.1,4.5,20.65,87.04,3.66,8.21,0.54,4.45,0.79,,,524.3,82.2,286.9,124.7,0.203,0.212,0.253,4394,3.342,4.5,20.65,0.54,87.04,3.66,601.54,8.21,1541.64,181.32,77.6,57.1,4.45,0.79
ST107B-10(R)b,Adakite,IM,Spot,Chu et al. 2009,92.45,36.2,2444.98,2967.4,255.1,337.68,894.41,107.8,8.46,70.22,6.05,27.66,120.34,4.72,9.28,1.13,6.42,1.008,,,728.4,150.3,352.9,167.6,0.278,0.296,0.337,6562,2.806,6.05,27.66,1.13,120.34,4.72,894.41,9.28,2444.98,255.1,107.8,70.22,6.42,1.008
AGC11,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,0.022,0.548,4.6,9.7,2.61,527,15.2,5.98,2.07,6.35,1.24,7.2,44.2,1.87,4.44,0.711,3.64,0.85,159,,40.4,36.8,31.9,34.3,1.017,1.024,0.961,32,11.923,1.24,7.2,0.711,44.2,1.87,15.2,4.44,4.6,2.61,5.98,6.35,3.64,0.85
AGC12,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,0.161,4.16,2.82,6.33,1.654,579.3,10.07,4.34,2.39,7.28,1.645,13.43,115.6,3.8,12.72,2.05,14.01,2.59,158.5,,29.3,42.5,36.6,45.6,1.288,1.296,1.25,21,5.011,1.645,13.43,2.05,115.6,3.8,10.07,12.72,2.82,1.654,4.34,7.28,14.01,2.59
AGC13,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,0.0434,3.53,1.105,4.51,1.04,488.1,8.08,4.68,2.21,10.65,2.605,21.74,177.7,5.75,19.66,3.003,18.14,3.17,145,,31.6,39.3,53.5,72.2,0.922,0.954,0.943,15,2.747,2.605,21.74,3.003,177.7,5.75,8.08,19.66,1.105,1.04,4.68,10.65,18.14,3.17
AGC14,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,0.136,6.93,4.59,11.71,2.67,607.5,15.84,8.25,4.04,14.3,3.45,28,221,6.79,22.9,3.4,21.7,3.75,148.8,,55.7,71.8,71.9,95.6,1.125,1.134,1.076,35,2.749,3.45,28,3.4,221,6.79,15.84,22.9,4.59,2.67,8.25,14.3,21.7,3.75
AGC15,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,1.229,19.67,7.84,19.72,5.4,636,35,20.5,8.31,34,8.12,68.9,530,18.93,63.2,9.54,63.5,10.25,154.6,,138.5,147.6,170.9,224.9,0.954,0.959,0.907,68,1.2,8.12,68.9,9.54,530,18.93,35,63.2,7.84,5.4,20.5,34,63.5,10.25
AGC16,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,0.0306,4.24,0.8,3.23,0.701,865,6.18,4.72,2.67,11.3,3.11,27.7,228,7.19,25.7,4.02,26.3,4.1,126.5,,31.9,47.4,56.8,86.1,1.07,1.114,1.068,11,3.794,3.11,27.7,4.02,228,7.19,6.18,25.7,0.8,0.701,4.72,11.3,26.3,4.1
AGC17,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,0.0542,4.44,1.046,4.4,0.886,773.4,7.22,5.44,3.43,14.9,4.19,40.5,353.9,11.74,41.2,6.01,39.8,6.23,138.6,,36.8,60.9,74.9,116.1,1.092,1.161,1.13,14,2.185,4.19,40.5,6.01,353.9,11.74,7.22,41.2,1.046,0.886,5.44,14.9,39.8,6.23
AGC18,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,10.7,22.7,5.82,14.74,3.87,678,25.1,13.43,6.45,24.2,6.06,52.2,411,13.76,49.3,7.76,52,8.71,130.8,,90.7,114.6,121.6,167.9,1.079,1.091,1.028,50,1.65,6.06,52.2,7.76,411,13.76,25.1,49.3,5.82,3.87,13.43,24.2,52,8.71
AGC19,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,1.606,15.49,4.01,12.25,2.83,522.6,18,9.9,4.24,17.7,4.41,36.6,292,9.97,33.9,5.23,35.9,6.25,119.8,,66.9,75.3,88.9,122.2,0.967,0.976,0.921,37,1.79,4.41,36.6,5.23,292,9.97,18,33.9,4.01,2.83,9.9,17.7,35.9,6.25
AGC110,Amphibolite facies Orthogneiss,LM,Spot,Henrichs et al. 2018,0.148,10.86,3.43,13.51,2.76,479.1,18.74,10.24,5.56,16.27,3.3,24.72,199.6,6.17,20.5,2.786,19.89,3.54,108.6,,69.2,98.8,81.8,91.4,1.308,1.313,1.301,38,2.4,3.3,24.72,2.786,199.6,6.17,18.74,20.5,3.43,2.76,10.24,16.27,19.89,3.54
